cannot observe Function without forcing or applying it	main:Suite:value:$fFoldableBox
cannot observe Function without forcing or applying it	main:Suite:value:$fFunctorBox
cannot observe Function without forcing or applying it	main:Suite:value:$fTraversableBox
entry arguments: expected N physical scalar slots, got N	main:Suite:value:$wack
entry arguments: expected N physical scalar slots, got N	main:Suite:value:$wfib
entry arguments: expected N physical scalar slots, got N	main:Suite:value:$wgo
entry arguments: expected N physical scalar slots, got N	main:Suite:value:$wxs
entry arguments: expected N physical scalar slots, got N	main:Suite:value:concatmap_empty_segments_$sgo
entry arguments: expected N physical scalar slots, got N	main:Suite:value:letrec_pow_$s$wpow'
entry arguments: expected N physical scalar slots, got N	main:Suite:value:t_bangPatterns_go
entry arguments: expected N physical scalar slots, got N	main:Suite:value:thunk_iterate_$s$wgo
entry arguments: expected N physical scalar slots, got N	main:Suite:value:thunk_zipwith_go
entry ValueId(N) cannot accept managed host arguments	main:Suite:local:$fFoldableBox4
entry ValueId(N) cannot accept managed host arguments	main:Suite:local:$fTraversableBox1
entry ValueId(N) cannot accept managed host arguments	main:Suite:local:$fTraversableBox2
entry ValueId(N) cannot accept managed host arguments	main:Suite:local:$fTraversableBox3
entry ValueId(N) cannot accept managed host arguments	main:Suite:local:sat.162
entry ValueId(N) cannot accept managed host arguments	main:Suite:local:sat.19
entry ValueId(N) cannot accept managed host arguments	main:Suite:local:sat.22
entry ValueId(N) cannot accept managed host arguments	main:Suite:value:$fEqDown
entry ValueId(N) cannot accept managed host arguments	main:Suite:value:$fEqDown_$c/=
entry ValueId(N) cannot accept managed host arguments	main:Suite:value:$fEqDown_$c==
entry ValueId(N) cannot accept managed host arguments	main:Suite:value:$fFoldableBox_$cfoldl
entry ValueId(N) cannot accept managed host arguments	main:Suite:value:$fFoldableBox_$cfoldl'
entry ValueId(N) cannot accept managed host arguments	main:Suite:value:$fFoldableBox_$cfoldl1
entry ValueId(N) cannot accept managed host arguments	main:Suite:value:$fFoldableBox_$cfoldMap
entry ValueId(N) cannot accept managed host arguments	main:Suite:value:$fFoldableBox_$cfoldMap'
entry ValueId(N) cannot accept managed host arguments	main:Suite:value:$fFoldableBox_$cfoldr
entry ValueId(N) cannot accept managed host arguments	main:Suite:value:$fFoldableBox_$cfoldr'
entry ValueId(N) cannot accept managed host arguments	main:Suite:value:$fFoldableBox_$clength
entry ValueId(N) cannot accept managed host arguments	main:Suite:value:$fFoldableBox_$cmaximum
entry ValueId(N) cannot accept managed host arguments	main:Suite:value:$fFoldableBox_$cminimum
entry ValueId(N) cannot accept managed host arguments	main:Suite:value:$fFoldableBox_$cnull
entry ValueId(N) cannot accept managed host arguments	main:Suite:value:$fFoldableBox_$ctoList
entry ValueId(N) cannot accept managed host arguments	main:Suite:value:$fFoldableBox1
entry ValueId(N) cannot accept managed host arguments	main:Suite:value:$fFoldableBox2
entry ValueId(N) cannot accept managed host arguments	main:Suite:value:$fFoldableBox3
entry ValueId(N) cannot accept managed host arguments	main:Suite:value:$fFunctorBox_$c<$
entry ValueId(N) cannot accept managed host arguments	main:Suite:value:$fFunctorBox_$cfmap
entry ValueId(N) cannot accept managed host arguments	main:Suite:value:$fOrdDown
entry ValueId(N) cannot accept managed host arguments	main:Suite:value:$fOrdDown_$c<
entry ValueId(N) cannot accept managed host arguments	main:Suite:value:$fOrdDown_$c<=
entry ValueId(N) cannot accept managed host arguments	main:Suite:value:$fOrdDown_$c>
entry ValueId(N) cannot accept managed host arguments	main:Suite:value:$fOrdDown_$ccompare
entry ValueId(N) cannot accept managed host arguments	main:Suite:value:$fOrdDown_$cmax
entry ValueId(N) cannot accept managed host arguments	main:Suite:value:$fOrdDown_$cmin
entry ValueId(N) cannot accept managed host arguments	main:Suite:value:$fOrdDown_$cp1Ord
entry ValueId(N) cannot accept managed host arguments	main:Suite:value:$fShowDown
entry ValueId(N) cannot accept managed host arguments	main:Suite:value:$fShowDown_$cshow
entry ValueId(N) cannot accept managed host arguments	main:Suite:value:$fShowDown_$cshowList
entry ValueId(N) cannot accept managed host arguments	main:Suite:value:$fShowDown_$cshowsPrec
entry ValueId(N) cannot accept managed host arguments	main:Suite:value:$fTraversableBox_$ctraverse
entry ValueId(N) cannot accept managed host arguments	main:Suite:value:$w$cshowsPrec
entry ValueId(N) cannot accept managed host arguments	main:Suite:value:$wc
entry ValueId(N) cannot accept managed host arguments	main:Suite:value:$wc1
entry ValueId(N) cannot accept managed host arguments	main:Suite:value:$WFmtKPrec
entry ValueId(N) cannot accept managed host arguments	main:Suite:value:$wgo1
entry ValueId(N) cannot accept managed host arguments	main:Suite:value:$wmyDropWhileT
entry ValueId(N) cannot accept managed host arguments	main:Suite:value:$wmyTakeWhileT
entry ValueId(N) cannot accept managed host arguments	main:Suite:value:bimap
entry ValueId(N) cannot accept managed host arguments	main:Suite:value:Box
entry ValueId(N) cannot accept managed host arguments	main:Suite:value:concatmap_empty_segments_$smyconcatMap
entry ValueId(N) cannot accept managed host arguments	main:Suite:value:concatmap_empty_segments_myconcatMap
entry ValueId(N) cannot accept managed host arguments	main:Suite:value:concatmap_empty_segments_myLen
entry ValueId(N) cannot accept managed host arguments	main:Suite:value:down
entry ValueId(N) cannot accept managed host arguments	main:Suite:value:Down
entry ValueId(N) cannot accept managed host arguments	main:Suite:value:filter_order_preserved_$smyfilter
entry ValueId(N) cannot accept managed host arguments	main:Suite:value:filter_order_preserved_myfilter
entry ValueId(N) cannot accept managed host arguments	main:Suite:value:first
entry ValueId(N) cannot accept managed host arguments	main:Suite:value:FmtKPrec
entry ValueId(N) cannot accept managed host arguments	main:Suite:value:fromLeft
entry ValueId(N) cannot accept managed host arguments	main:Suite:value:fromRight
entry ValueId(N) cannot accept managed host arguments	main:Suite:value:ho_myconcatmap_$smymap
entry ValueId(N) cannot accept managed host arguments	main:Suite:value:ho_myconcatmap_myappend
entry ValueId(N) cannot accept managed host arguments	main:Suite:value:ho_myconcatmap_myconcat
entry ValueId(N) cannot accept managed host arguments	main:Suite:value:ho_myconcatmap_mymap
entry ValueId(N) cannot accept managed host arguments	main:Suite:value:ho_myfoldr_$smyfoldr
entry ValueId(N) cannot accept managed host arguments	main:Suite:value:ho_mymap_len_$smymap
entry ValueId(N) cannot accept managed host arguments	main:Suite:value:ho_mymap_len_mymap
entry ValueId(N) cannot accept managed host arguments	main:Suite:value:lazy_concatmap_infinite_mySum
entry ValueId(N) cannot accept managed host arguments	main:Suite:value:lazy_nubby_infinite_$selemBy
entry ValueId(N) cannot accept managed host arguments	main:Suite:value:lazy_nubby_infinite_$sgo
entry ValueId(N) cannot accept managed host arguments	main:Suite:value:lazy_nubby_infinite_go
entry ValueId(N) cannot accept managed host arguments	main:Suite:value:lefts
entry ValueId(N) cannot accept managed host arguments	main:Suite:value:myDropWhileT
entry ValueId(N) cannot accept managed host arguments	main:Suite:value:myTakeWhileT
entry ValueId(N) cannot accept managed host arguments	main:Suite:value:partitionEithers
entry ValueId(N) cannot accept managed host arguments	main:Suite:value:PunRecord
entry ValueId(N) cannot accept managed host arguments	main:Suite:value:PunRecord:punField
entry ValueId(N) cannot accept managed host arguments	main:Suite:value:rights
entry ValueId(N) cannot accept managed host arguments	main:Suite:value:RWRecord
entry ValueId(N) cannot accept managed host arguments	main:Suite:value:RWRecord:rwField1
entry ValueId(N) cannot accept managed host arguments	main:Suite:value:RWRecord:rwField2
entry ValueId(N) cannot accept managed host arguments	main:Suite:value:second
entry ValueId(N) cannot accept managed host arguments	main:Suite:value:sortOn
entry ValueId(N) cannot accept managed host arguments	main:Suite:value:sortOn_$ssortOn
entry ValueId(N) cannot accept managed host arguments	main:Suite:value:sortOn_$ssortOn1
entry ValueId(N) cannot accept managed host arguments	main:Suite:value:swap
entry ValueId(N) cannot accept managed host arguments	main:Suite:value:t_bimap_$sgo
entry ValueId(N) cannot accept managed host arguments	main:Suite:value:text_dropWhileT_direct_go
entry ValueId(N) cannot accept managed host arguments	main:Suite:value:text_takeWhileT_direct_go
entry ValueId(N) cannot accept managed host arguments	main:Suite:value:t_lambdaCase4
entry ValueId(N) cannot accept managed host arguments	main:Suite:value:t_rightsLefts_$sgo1
entry ValueId(N) cannot accept managed host arguments	main:Suite:value:t_rightsLefts_$sgo2
entry ValueId(N) cannot accept managed host arguments	main:Suite:value:t_rightsLefts_go1
entry ValueId(N) cannot accept managed host arguments	main:Suite:value:t_rightsLefts_go2
entry ValueId(N) cannot accept managed host arguments	main:Suite:value:useFmtK
harness limitation: reference has no finite observation; native execution omitted	main:Suite:value:thunk_blackhole
observation budget N exhausted	main:Suite:value:thunk_cycle_xs'
observation budget N exhausted	main:Suite:value:thunk_letrec_knot_xs
representation Address is not a materialized host value	main:Suite:local:sat
representation Address is not a materialized host value	main:Suite:local:sat.1
representation Address is not a materialized host value	main:Suite:local:sat.10
representation Address is not a materialized host value	main:Suite:local:sat.11
representation Address is not a materialized host value	main:Suite:local:sat.12
representation Address is not a materialized host value	main:Suite:local:sat.13
representation Address is not a materialized host value	main:Suite:local:sat.14
representation Address is not a materialized host value	main:Suite:local:sat.15
representation Address is not a materialized host value	main:Suite:local:sat.16
representation Address is not a materialized host value	main:Suite:local:sat.17
representation Address is not a materialized host value	main:Suite:local:sat.18
representation Address is not a materialized host value	main:Suite:local:sat.2
representation Address is not a materialized host value	main:Suite:local:sat.3
representation Address is not a materialized host value	main:Suite:local:sat.4
representation Address is not a materialized host value	main:Suite:local:sat.5
representation Address is not a materialized host value	main:Suite:local:sat.6
representation Address is not a materialized host value	main:Suite:local:sat.7
representation Address is not a materialized host value	main:Suite:local:sat.8
representation Address is not a materialized host value	main:Suite:local:sat.9
representation Address is not a materialized host value	main:Suite:value:$tc'Box
representation Address is not a materialized host value	main:Suite:value:$tcBox
representation Address is not a materialized host value	main:Suite:value:$tc'Box1
representation Address is not a materialized host value	main:Suite:value:$tcBox1
representation Address is not a materialized host value	main:Suite:value:$tc'Box2
representation Address is not a materialized host value	main:Suite:value:$tcBox2
representation Address is not a materialized host value	main:Suite:value:$tc'Box5
representation Address is not a materialized host value	main:Suite:value:$tc'Box6
representation Address is not a materialized host value	main:Suite:value:$tc'Down
representation Address is not a materialized host value	main:Suite:value:$tcDown
representation Address is not a materialized host value	main:Suite:value:$tc'Down1
representation Address is not a materialized host value	main:Suite:value:$tcDown1
representation Address is not a materialized host value	main:Suite:value:$tc'Down2
representation Address is not a materialized host value	main:Suite:value:$tcDown2
representation Address is not a materialized host value	main:Suite:value:$tc'Down3
representation Address is not a materialized host value	main:Suite:value:$tc'Down4
representation Address is not a materialized host value	main:Suite:value:$tcFmtK
representation Address is not a materialized host value	main:Suite:value:$tcFmtK1
representation Address is not a materialized host value	main:Suite:value:$tcFmtK2
representation Address is not a materialized host value	main:Suite:value:$tc'FmtKInt
representation Address is not a materialized host value	main:Suite:value:$tc'FmtKInt1
representation Address is not a materialized host value	main:Suite:value:$tc'FmtKInt2
representation Address is not a materialized host value	main:Suite:value:$tc'FmtKInt3
representation Address is not a materialized host value	main:Suite:value:$tc'FmtKInt4
representation Address is not a materialized host value	main:Suite:value:$tc'FmtKInt5
representation Address is not a materialized host value	main:Suite:value:$tc'FmtKPrec
representation Address is not a materialized host value	main:Suite:value:$tc'FmtKPrec1
representation Address is not a materialized host value	main:Suite:value:$tc'FmtKPrec2
representation Address is not a materialized host value	main:Suite:value:$tc'FmtKPrec3
representation Address is not a materialized host value	main:Suite:value:$tc'FmtKPrec4
representation Address is not a materialized host value	main:Suite:value:$tc'FmtKPrec5
representation Address is not a materialized host value	main:Suite:value:$tc'FmtKPrec6
representation Address is not a materialized host value	main:Suite:value:$tc'PunRecord
representation Address is not a materialized host value	main:Suite:value:$tcPunRecord
representation Address is not a materialized host value	main:Suite:value:$tc'PunRecord1
representation Address is not a materialized host value	main:Suite:value:$tcPunRecord1
representation Address is not a materialized host value	main:Suite:value:$tc'PunRecord2
representation Address is not a materialized host value	main:Suite:value:$tcPunRecord2
representation Address is not a materialized host value	main:Suite:value:$tc'PunRecord3
representation Address is not a materialized host value	main:Suite:value:$tc'PunRecord4
representation Address is not a materialized host value	main:Suite:value:$tc'RWRecord
representation Address is not a materialized host value	main:Suite:value:$tcRWRecord
representation Address is not a materialized host value	main:Suite:value:$tc'RWRecord1
representation Address is not a materialized host value	main:Suite:value:$tcRWRecord1
representation Address is not a materialized host value	main:Suite:value:$tc'RWRecord2
representation Address is not a materialized host value	main:Suite:value:$tcRWRecord2
representation Address is not a materialized host value	main:Suite:value:$tc'RWRecord3
representation Address is not a materialized host value	main:Suite:value:$tc'RWRecord4
representation Address is not a materialized host value	main:Suite:value:$tc'RWRecord5
representation Address is not a materialized host value	main:Suite:value:$tc'RWRecord6
representation Address is not a materialized host value	main:Suite:value:$trModule
representation Address is not a materialized host value	main:Suite:value:$trModule1
representation Address is not a materialized host value	main:Suite:value:$trModule2
representation Address is not a materialized host value	main:Suite:value:$trModule3
representation Address is not a materialized host value	main:Suite:value:$trModule4
